"Date_Time","Usage_kW","Adults","Children","House"
2019-01-06 11:00:00,0.49745722225,2,1,"House_1"
2019-01-06 12:00:00,0.295810277716667,2,1,"House_1"
2019-01-06 13:00:00,0.257324444433333,2,1,"House_1"
2019-01-06 14:00:00,0.229603888883333,2,1,"House_1"
2019-01-06 15:00:00,0.272212777816667,2,1,"House_1"
2019-01-06 16:00:00,0.295188055516667,2,1,"House_1"
2019-01-06 17:00:00,0.415996388833333,2,1,"House_1"
2019-01-06 18:00:00,0.414284722216667,2,1,"House_1"
2019-01-06 19:00:00,0.453460277783333,2,1,"House_1"
2019-01-06 20:00:00,0.56333611105,2,1,"House_1"
2019-01-06 21:00:00,0.481723055566667,2,1,"House_1"
2019-01-06 22:00:00,0.479528055516667,5,3,"House_1"
2019-01-06 23:00:00,0.579670833316667,5,3,"House_1"
2019-01-07 00:00:00,0.504991666616667,5,3,"House_1"
2019-01-07 01:00:00,0.57253,5,3,"House_1"
2019-01-07 02:00:00,0.447492777816667,5,3,"House_1"
2019-01-07 03:00:00,0.486137499983333,5,3,"House_1"
2019-01-07 04:00:00,0.0883644444166667,5,3,"House_1"
2019-01-07 05:00:00,0.09541861105,5,3,"House_1"
2019-01-07 06:00:00,0.0959611110833333,5,3,"House_1"
2019-01-07 07:00:00,0.215689722216667,2,1,"House_1"
2019-01-07 08:00:00,0.3941561111,2,1,"House_1"
2019-01-07 09:00:00,0.551237499966667,2,1,"House_1"
2019-01-07 10:00:00,0.4624861111,2,1,"House_1"
2019-01-07 11:00:00,0.4183,2,1,"House_1"
2019-01-07 12:00:00,0.416699722166667,2,1,"House_1"
2019-01-07 13:00:00,0.576781944416667,4,2,"House_1"
2019-01-07 14:00:00,0.267081944433333,2,1,"House_1"
2019-01-07 15:00:00,0.163077222216667,2,1,"House_1"
2019-01-07 16:00:00,0.3476852778,2,1,"House_1"
2019-01-07 17:00:00,0.414862499966667,2,1,"House_1"
2019-01-07 18:00:00,1.36605750001667,4,2,"House_1"
2019-01-07 19:00:00,0.38884388885,2,1,"House_1"
2019-01-07 20:00:00,0.4593816667,2,1,"House_1"
2019-01-07 21:00:00,0.392485833366667,2,1,"House_1"
2019-01-07 22:00:00,0.288436944433333,5,3,"House_1"
2019-01-07 23:00:00,0.440640000016667,5,3,"House_1"
2019-01-08 00:00:00,0.341380555566667,5,3,"House_1"
2019-01-08 01:00:00,0.242646388833333,5,3,"House_1"
2019-01-08 02:00:00,0.380995277816667,5,3,"House_1"
2019-01-08 03:00:00,0.410974444433333,5,3,"House_1"
2019-01-08 04:00:00,0.458332222216667,5,3,"House_1"
2019-01-08 05:00:00,0.413475000083333,5,3,"House_1"
2019-01-08 06:00:00,0.407125277816667,5,3,"House_1"
2019-01-08 07:00:00,0.639829999983333,4,2,"House_1"
2019-01-08 08:00:00,0.389223055566667,2,1,"House_1"
2019-01-08 09:00:00,0.25991388895,2,1,"House_1"
2019-01-08 10:00:00,0.211663888916667,2,1,"House_1"
2019-01-08 11:00:00,0.302244166683333,2,1,"House_1"
2019-01-08 12:00:00,0.29894722225,2,1,"House_1"
2019-01-08 13:00:00,0.369966666683333,2,1,"House_1"
2019-01-08 14:00:00,0.2137302778,2,1,"House_1"
2019-01-08 15:00:00,0.177036111133333,2,1,"House_1"
2019-01-08 16:00:00,0.194809722166667,2,1,"House_1"
2019-01-08 17:00:00,0.3616144445,2,1,"House_1"
2019-01-08 18:00:00,0.775511388933333,4,2,"House_1"
2019-01-08 19:00:00,0.344840000033333,2,1,"House_1"
2019-01-08 20:00:00,0.392860555533333,2,1,"House_1"
2019-01-08 21:00:00,0.420254999983333,2,1,"House_1"
2019-01-08 22:00:00,0.29895777775,5,3,"House_1"
2019-01-08 23:00:00,0.363891944383333,5,3,"House_1"
2019-01-09 00:00:00,0.320937222233333,5,3,"House_1"
2019-01-09 01:00:00,0.326369444433333,5,3,"House_1"
2019-01-09 02:00:00,0.424817222233333,5,3,"House_1"
2019-01-09 03:00:00,0.446583333283333,5,3,"House_1"
2019-01-09 04:00:00,0.402386111133333,5,3,"House_1"
2019-01-09 05:00:00,0.352686388916667,5,3,"House_1"
2019-01-09 06:00:00,0.2576725,5,3,"House_1"
2019-01-09 07:00:00,0.28194027775,2,1,"House_1"
2019-01-09 08:00:00,0.367240833333333,2,1,"House_1"
2019-01-09 09:00:00,0.333822222233333,2,1,"House_1"
2019-01-09 10:00:00,0.121250833266667,2,1,"House_1"
2019-01-09 11:00:00,0.243244166616667,2,1,"House_1"
2019-01-09 12:00:00,0.275048055583333,2,1,"House_1"
2019-01-09 13:00:00,0.35356333335,2,1,"House_1"
2019-01-09 14:00:00,0.220877500016667,2,1,"House_1"
2019-01-09 15:00:00,0.0985302777666667,2,1,"House_1"
2019-01-09 16:00:00,0.291471944433333,2,1,"House_1"
2019-01-09 17:00:00,1.20971055555,4,2,"House_1"
2019-01-09 18:00:00,0.380704722233333,2,1,"House_1"
